title,genre,overview,year
Haider,Drama|Crime,A Shakespeare adaptation,2014
Article 15,Drama|Crime,Police investigate caste crime,2019
Newton,Drama,An election officer struggles,2017
Badhaai Ho,Comedy|Drama,Unexpected pregnancy in family,2018
Bareilly Ki Barfi,Romance|Comedy,Small-town love story,2017
The Godfather,Crime|Drama,Mafia family power struggle,1972
The Godfather Part II,Crime|Drama,The rise and fall of a mafia empire,1974
The Shawshank Redemption,Drama,A man finds hope in prison,1994
Forrest Gump,Drama|Romance,A man lives through historic events,1994
Fight Club,Drama,A man forms an underground fight club,1999
Pulp Fiction,Crime|Drama,Interconnected crime stories,1994
The Silence of the Lambs,Thriller|Crime,An FBI agent hunts a killer,1991
Se7en,Crime|Thriller,Detectives chase a serial killer,1995
Gladiator,Action|Drama,A general seeks revenge,2000
Titanic,Romance|Drama,A love story on a sinking ship,1997
Jurassic Park,Adventure|Sci-Fi,Dinosaurs are brought back to life,1993
The Terminator,Action|Sci-Fi,A cyborg hunts a woman,1984
Terminator 2: Judgment Day,Action|Sci-Fi,A robot protects humanity,1991
Back to the Future,Sci-Fi|Adventure,A teen travels through time,1985
The Lord of the Rings: The Fellowship of the Ring,Fantasy|Adventure,A quest begins,2001
The Lord of the Rings: The Two Towers,Fantasy|Adventure,Battle for Middle Earth,2002
The Lord of the Rings: The Return of the King,Fantasy|Adventure,Final battle for the ring,2003
Harry Potter and the Sorcerer's Stone,Fantasy|Adventure,A boy discovers magic,2001
Harry Potter and the Chamber of Secrets,Fantasy|Adventure,A dark secret is revealed,2002
Harry Potter and the Prisoner of Azkaban,Fantasy|Adventure,A dangerous prisoner escapes,2004
Spirited Away,Animation|Fantasy,A girl enters a spirit world,2001
My Neighbor Totoro,Animation|Fantasy,Two girls meet forest spirits,1988
Your Name,Animation|Romance,Two strangers share a connection,2016
Parasite,Thriller|Drama,A poor family infiltrates a rich home,2019
Oldboy,Thriller|Action,A man seeks revenge after imprisonment,2003
Train to Busan,Horror|Action,Zombies attack a train,2016
The Handmaiden,Drama|Romance,A con story in Korea,2016
Hero,Action|Drama,A warrior tells his story,2002
Crouching Tiger Hidden Dragon,Action|Drama,A tale of warriors and love,2000
Infernal Affairs,Crime|Thriller,Undercover cops in Hong Kong,2002
Chungking Express,Romance|Drama,Two love stories intersect,1994
In the Mood for Love,Romance|Drama,A subtle love story,2000
Rashomon,Drama|Mystery,Different perspectives of a crime,1950
Seven Samurai,Action|Drama,Samurai defend a village,1954
Akira,Animation|Sci-Fi,A dystopian future in Tokyo,1988
Perfect Blue,Animation|Thriller,A pop idol loses grip on reality,1997
Memories of Murder,Crime|Drama,A serial killer investigation,2003
The Wailing,Horror|Mystery,A village faces evil,2016
Burning,Drama|Mystery,A man suspects something sinister,2018
Decision to Leave,Romance|Thriller,A detective falls for a suspect,2022
RRR,Action|Drama,Two revolutionaries fight British rule,2022
Baahubali: The Beginning,Action|Fantasy,A warrior's origin story,2015
Baahubali: The Conclusion,Action|Fantasy,The epic conclusion,2017
KGF Chapter 1,Action|Crime,A man rises in the gold mafia,2018
KGF Chapter 2,Action|Crime,The empire expands,2022
Pushpa,Action|Crime,A man rises in smuggling world,2021
Arjun Reddy,Romance|Drama,A flawed surgeon's love story,2017
Geetha Govindam,Romance|Comedy,A charming love story,2018
Eega,Fantasy|Action,A man reincarnates as a fly,2012
Super Deluxe,Drama|Crime,Multiple stories intertwine,2019
Drishyam 2,Thriller|Crime,A man protects his family again,2021
Vikram,Action|Thriller,A covert ops thriller,2022
Jailer,Action|Drama,A retired officer returns,2023
Master,Action|Drama,A professor faces a gangster,2021
Leo,Action|Thriller,A mysterious man's past unfolds,2023
Kaithi,Action|Thriller,A prisoner helps police,2019
Asuran,Drama|Action,A farmer fights oppression,2019
Sivaji,Action|Drama,A man fights corruption,2007
Enthiran,Action|Sci-Fi,A robot gains emotions,2010
Kabali,Action|Drama,A gangster returns,2016
Ponniyin Selvan,Drama|History,A historical epic,2022
96,Romance|Drama,A reunion of past lovers,2018
Premam,Romance|Drama,A man's love journey,2015
Bangalore Days,Drama|Romance,Friends explore life,2014
Udaan,Drama,A boy dreams of freedom,2010
Court,Drama,A legal system critique,2014
Ship of Theseus,Drama|Philosophy,Questions identity,2013
Talvar,Crime|Drama,A real-life murder case,2015
Pink,Drama|Crime,A court case about consent,2016
Raazi,Drama|Thriller,A spy marries into enemy family,2018
Uri: The Surgical Strike,Action|War,A military operation,2019
Kesari,Action|War,A historic battle,2019
Tumbbad,Horror|Fantasy,A cursed treasure,2018
Bulbbul,Horror|Drama,A haunting feminist tale,2020
NH10,Thriller|Crime,A couple faces violence,2015
Rang De Basanti,Drama|Patriotism,Youth awaken to activism,2006
Lakshya,Drama|War,A man finds purpose,2004
Rock On,Drama|Music,A band reunites,2008
Fashion,Drama,A model's rise and fall,2008
Page 3,Drama,Media world secrets,2005
Corporate,Drama,Business politics,2006
Black Swan,Drama|Thriller,A ballerina descends into madness,2010
Whiplash,Drama|Music,A drummer faces pressure,2014
La La Land,Romance|Music,A love story in Hollywood,2016
The Social Network,Drama,A story of Facebook creation,2010
The Big Short,Drama|Finance,The 2008 financial crisis,2015
Moneyball,Drama|Sports,A new way of baseball,2011
The Wolf of Wall Street,Crime|Drama,A stockbroker's rise,2013
Gone Girl,Thriller|Drama,A missing wife mystery,2014
Prisoners,Thriller|Crime,A father searches for his daughter,2013
Nightcrawler,Thriller|Crime,A man exploits crime news,2014
Drive,Action|Crime,A getaway driver story,2011
Mad Max Fury Road,Action|Adventure,A high-speed chase,2015
Blade Runner,Sci-Fi|Drama,A cop hunts replicants,1982
Blade Runner 2049,Sci-Fi|Drama,A sequel to the classic,2017
Ex Machina,Sci-Fi|Thriller,AI and consciousness,2015
Arrival,Sci-Fi|Drama,Aliens arrive on Earth,2016
Her,Romance|Sci-Fi,A man falls in love with AI,2013
Gravity,Sci-Fi|Thriller,A survival in space,2013
The Martian,Sci-Fi|Adventure,An astronaut survives Mars,2015
Edge of Tomorrow,Sci-Fi|Action,A time loop battle,2014
Looper,Sci-Fi|Thriller,A hitman faces himself,2012
The Prestige,Drama|Mystery,Two rival magicians obsess over their craft,2006
